title	genre	singers	writers	composers	lyrics
Άφκιαχτο κι αστόλιστο 1968	-	Αρλέτα Λουδοβίκος των Ανωγείων	Κωστής Παλαμάς	Γιάννης Σπανός	Άφκιαστο κι αστόλιστο του χάρου δε σε δίνω στάσου με το ανθόνερο την όψη σου να πλύνω. Το στερνό το χτένισμα με τα χρυσα τα χτένια πάρετε από τη μανούλα σας μαλλάκια μεταξένια. Μήπως και τον χαροντα καθώς θα σε κοιτάξει του φανείς αχάιδευτο και σε παραπετάξει. Κι αν διψάσεις μην το πιεις από τον κάτω κόσμο το νερό της αρνησιάς φτωχο κομμένο δυόσμο. Μην το πιεις και ολότελα και αιώνια μας ξεχάσεις βάλε τα σημάδια σου τον δρόμο να μην χάσεις. Και στο σπίτι το άραχνο γυρνώντας ω ακριβέ μας γίνε αεροφύσημα και γλυκοφίλησέ μας.
Αφού δεν ήσουν ικανή Τι το έκανες άσπλαχνη το παιδί σου 1977	-	Σωτηρία Μπέλλου Καίτη Γκρέυ Φωνητικά - Ρουμελιώτης Δημήτρης	Νίκος Μπρίλης	Γρηγόρης Μπιθικώτσης	Αφού δεν ήσουν ικανή για να τα βγάλεις πέρα τι ήθελες και γινόσουνα, γινόσουνα μητέρα. Όλες οι μάνες σε ρωτούν μπροστά τους εξηγήσου τι το έκανες, τι το έκανες άσπλαχνη το παιδί σου. Σε ξένα χέρια το έδωσες χωρίς να νιώσεις θλίψη σαν να ήταν ξένο το παιδί το έχεις εγκαταλείψει. Όλες οι μάνες σε ρωτούν μπροστά τους εξηγήσου τι το έκανες, τι το έκανες άσπλαχνη το παιδί σου. Αφού δεν ήσουν ικανή το σπλάχνο σου να ζήσεις πες μας, για πες μας τι ήθελες παιδί για να αποκτήσεις. Όλες οι μάνες σε ρωτούν μπροστά τους εξηγήσου τι το έκανες, τι το έκανες άσπλαχνη το παιδί σου.
Αφρική 1978	-	Μαρία Δημητριάδη	Φώντας Λάδης	Θάνος Μικρούτσικος	Αφρική, σου τραγουδάω με της Άνοιξης το στόμα, νάτη η λευτεριά σιμά σου, μα δεν άστραψεν ακόμα. Φονικό το δόρυ ρίξε στα κορμιά των σταυροφόρων κόκκινα τα δόντια δείξε στα τραπέζια των εμπόρων. Τώρα πια δεν έχεις γλώσσα, τώρα η πίκρα σου παρέκει σώπαινες αιώνια τόσα που τα λες με το τουφέκι. Τύμπανα παντού χτυπάνε σε ρυθμό λευτερωμένο όσα χρόνια σε πονάνε τόσα χρόνια περιμένω. Όλα αλλάζουν χρώμα τώρα, όλα δες ξαναγεννιούνται, συ, ταπεινωμένη χώρα, ξύπνησες και σε φοβούνται.
Αφροδίτη 2006	-	Ελευθερία Αρβανιτάκη	Κ.Χ Μύρης	Νίκος Ξυδάκης	Καλόμοιροι που πλάγιασαν στα σεντόνια της. Αφροδίτης φρόνιμοι και μετρημένοι το κεντρί της γαληνέψανε. Του πόθου τα δίδυμα τόξα όταν τεντώνει ο ξανθομάλλης έρωτας, το ένα δίνει ζωή χαρισάμενη και το άλλο δίνει παραζάλη. Ωραία θεά μου μη, μη βάζεις μη την παραζάλη μη, στην κάμαρά μου. Ας είναι το πάθος μου χλιαρό. Ας είναι οι πόθοι μου καθαροί. Ας είναι, απλά απλά τον έρωτα να χαίρομαι και τις ηδονές που περισσεύουνε τις χαλαλίζω.
Αχ, φεγγαράκι μου	Φεγγάρι	Ανδρεάτος Γεράσιμος, Παπάζογλου Σοφία	Ζήκας Γιώργος	Ζήκας Γιώργος	Αχ, φεγγαράκι μου, αθώο φεγγάρι ήρθε κι απόψε να με πάρει στέκεται από ψηλά και με κοιτάει κι όλο για σένανε, αχ μου μιλάει σκύβει από πάνω μου, μαζί μου κλαίει κι όλο για σένανε, αχ όλο λέει. Σε νερά κολυμπάει στα λιμάνια της γης τα σημάδια του αφήνει να τα βρεις αν χαθείς τα σημάδια του αφήνει να τα βρεις αν χαθείς. Αχ, φεγγαράκι μου, αθώο φεγγάρι ίδιο με σένανε λάμψη και χάρη ψηλά στα σύννεφα με ταξιδεύει μου λέει για σένανε και με μαγεύει σκύβει από πάνω μου, μαζί μου κλαίει κι όλο για σένανε, αχ όλο λέει. Σε νερά κολυμπάει στα λιμάνια της γης τα σημάδια του αφήνει να τα βρεις αν χαθείς τα σημάδια του αφήνει να τα βρεις αν χαθείς.
Αχάριστη 1947	-	Βασίλης Τσιτσάνης Ιωάννα Γεωργακοπούλου Στελλάκης Περπινιάδης Τρίο Μπελκάντο Στράτος Διονυσίου Βασίλης Τσιτσάνης Πόλυ Πάνου Βαγγέλης Περπινιάδης Γιάννης Πουλόπουλος Χαρούλα Αλεξίου Δήμητρα Γαλάνη Γιάννης Πάριος Δήμητρα Γαλάνη Κώστας Μακεδόνας Βασίλης Παπακωνσταντίνου Τάνια Τσανακλίδου	Βασίλης Τσιτσάνης	Βασίλης Τσιτσάνης	Δε ρώτησες τόσον καιρό για μένα πώς πέρασα, τρελή, στην ξενιτιά σε αγάπησα, δυστύχησα για σένα και σέρνομαι, κακούργα, μακριά. Τα βάσανά μου με έριξαν στα ξένα και με έχουν της ζωής κατάδικο αχάριστη, δεν πόνεσες για μένα κι αυτό το βρίσκω να είναι άδικο. Μου είπανε πως ζεις ευτυχισμένη θεότρελη, στα πλούτη κολυμπάς μα μια κατάρα πάντα θα σε δέρνει του προδομένου ο πόνος της καρδιάς.
Αχώριστα	-	Νίκος Μερτζάνος	Παναγιώτης Γαλάνης	Αντώνης Παπακωνσταντίνου	Είναι μυστήρια άλυτα του κόσμου οι συνθήκες Πόλη που μέσα έκλεισε ανθρώπους μηχανές. Όλους τους φάρους άναψα στο σώμα μου και μπήκες. Τα θαύματα αργοκίνητα από τις αναμονές. Αχώριστα τα χέρια μας. Μπροστά στη δυσκολία. Τους άθλους καταφέραμε. Αμέτρητες φορές. Και τι άσχημα που γράφονται. Με μαύρη κιμωλία. Με ένα σφουγγάρι αόρατο. Τα σβήνουν οι καρδιές. Είναι αρένα η ζωή κι οι φίλοι μονομάχοι. Κι οι σχέσεις ετοιμόρροπες σαν τις οικοδομές. Μα οι καρδιές αν ενωθούν κερδίζουν κάθε μάχη. Είναι θεμέλια ακούνητα αν δέσουν οι καρδιές.
Βαγγελιώ δεν είσαι εντάξει 1940	-	Απόστολος Χατζηχρήστος Γιώργος Κωνσταντινίδης Στράτος Παγιουμτζής Σωτηρία Μπέλλου	Απόστολος Χατζηχρήστος	Απόστολος Χατζηχρήστος	Θυμήσου με ορκιζόσουνα πως θα με περιμένεις μα γρήγορα με ξέχασες και με άλλονε πηγαίνεις. Μα γρήγορα με ξέχασες και με άλλονε πηγαίνεις. Έχεις γνώμη τώρα αλλάξει. Βαγγελιώ δεν είσαι εντάξει. Βαγγελιώ δεν είσαι εντάξει έχεις γνώμη τώρα αλλάξει. Τα ξέχασες πως όμορφα περνούσαμε τα βράδια με γλέντια, με γλυκόλογα και με φιλιά και χάδια. Με γλέντια με γλυκόλογα και με φιλιά και χάδια. Έχεις γνώμη τώρα αλλάξει. Βαγγελιώ δεν είσαι εντάξει. Βαγγελιώ δεν είσαι εντάξει έχεις γνώμη τώρα αλλάξει. Για κοίτα πως με ζωσανε σαν φίδια τα μεράκια, λυπήσου τη καρδούλα μου που πότισες φαρμάκια. Λυπήσου τη καρδούλα μου που γέμισες φαρμάκια. Έχεις γνώμη τώρα αλλάξει. Βαγγελιώ δεν είσαι εντάξει. Βαγγελιώ δεν είσαι εντάξει έχεις γνώμη τώρα αλλάξει.
Βαθιά άγρια θάλασσα 2008	-	Χρήστος Θηβαίος	AnimaCorda	AnimaCorda	Βαθιά άγρια θάλασσα. Πνιγμένες μου ελπίδες. Αλμύρα μου μάγισσα. Χαμένες πατρίδες. Στην άβυσσο δίψασες. Στα αστέρια νικούσες. Βαθιά άγρια θάλασσα. Βαθιά μου μιλούσες. Στο μπλε σου ταξίδεψα. Σε άναρχους τόπους. Το χρόνο λησμόνησα. Ιδέες κι ανθρώπους. Τα χείλη μου δίψασες. Το νου μου μεθούσες. Βαθιά άγρια θάλασσα. Βαθιά μου μιλούσες
Βαθιές αναπνοές 2012	-	Παντελής Θαλασσινός	Ηλίας Κατσούλης	Παντελής Θαλασσινός	Βαθιές αναπνοές σαν κτύποι στο κελί μου τα λόγια σου καλή μου σε αυτό το βουητό. Βαθιές αναπνοές ανάσες της ερήμου μικρό λευκό κερί μου τη φλόγα σου κοιτώ. Κλείνω τα βλέφαρα τα μάτια ανοιχτά παίρνω βαθιές αναπνοές από τη ζωή σου τρέχουν σαν άλογα τα χρόνια φτερωτά κι εγώ κρατιέμαι από την αναπνοή σου. Βαθιές αναπνοές αγγελοβάλσαμό μου σε αυτόν τον καλπασμό μου κρυμμένη προσευχή. Βαθιές αναπνοές όλα τα σε αγαπώ σου πάνω στο πρόσωπό σου σαν φώτα στη βροχή. Κλείνω τα βλέφαρα τα μάτια ανοιχτά παίρνω βαθιές αναπνοές από τη ζωή σου τρέχουν σαν άλογα τα χρόνια φτερωτά κι εγώ κρατιέμαι από την αναπνοή σου.
Βάλε κι άλλο πιάτο 1964	-	Βίκυ Μοσχολιού Καίτη Αποστολάτου Γλυκερία Σαββέρια Μαργιολά	Λευτέρης Παπαδόπουλος	Σταύρος Ξαρχάκος	Βάλε κι άλλο πιάτο στο τραπέζι βγάλε από την πόρτα το κλειδί το παιδί ξανάρχισε να παίζει το κανάρι πάλι κελαηδεί βάλε κι άλλη αγάπη στο τραπέζι. Κάποιος πονεμένος θα βρεθεί το παιδί ξανάρχισε να παίζει το κανάρι πάλι κελαηδεί. Άνοιξε στο φως το παραθύρι δέσε μια κορδέλα στα μαλλιά βάλε το λουλούδι στο ποτήρι να γεμίσει η κάμαρη ευωδιά. Βάλε κι άλλο πιάτο στο τραπέζι βγάλε από την πόρτα το κλειδί το παιδί ξανάρχισε να παίζει το κανάρι πάλι κελαηδεί
Βάλε μου να πιω 1987	-	Ελευθερία Αρβανιτάκη Νίκος Ξυδάκης Νίκος Πορτοκάλογλου	Τάσος Σαμαρτζής	Νίκος Ξυδάκης	Γέμισε μου το ποτήρι. Βάλε μου να πιω. Της ψυχής το οργανάκι. Να κουρντίσω με μεράκι. Κι όσα ψάχνω να τα βρω. Βάλε μου να πιω. Φέρε μου να πιω. Κι αν είναι ψέματα. Τι σημασία. Κι αν είναι για λίγο. Αχ τι αδικία. Γέμισέ μου το ποτήρι. Βάλε μου ξανά. Να ξεφύγει από τις ράγες. Η ζωή με τους νταλκάδες. Να στραγγίξω τη χαρά. Βάλε μου ξανά. Φέρε μου ξανά. Γέμισέ μου το ποτήρι. Βάλε μου να πιω. Να σαλτάρω κάθε σύρμα. Κάθε μάντρα κάθε κύμα. Να χαθώ για να βρεθώ. Βάλε μου να πιω. Φέρε μου να πιω.
Βάλε το δεύτερο	-	Ελευθερία Αρβανιτάκη	Λίνα Νικολακοπούλου	Σταμάτης Κραουνάκης	Καθε μέρα πανυγύρι, βάλε εσύ το ξυπνητήτι στις εφτά κι ας το ράδιο να παίζει όλη μέρα στο τραπέζι λαικά. Από το Σάββατο Δευτέρα όλη νύχτα κι όλη μέρα συντροφιά κι από το τρανζιστοράκι μου το είπε ενα πουλάκι μια φορά. Βάλε το δεύτερο σε χρόνο ελεύθερο, με τα τραγούδια της παρέας σε Αθήνα και Πειραίας βάλε το δεύτερο βάλε το δεύτερο κι άσε με λεύθερο να γίνω εγώ το αισθημά σου και το πρόγραμμά σου βάλε το δεύτερο. Για θυμήσου τέτοια μέρα που σου είπα καλημέρα ξαφνικά κι όπως είχες τα δικά σου ήρθα κι έμεινα κοντά σου τελικά. Ένα χρόνο στον αέρα κι από τις 11 και πέρα ειλικρινά ότι έχω να σου δώσω θέλω να στο μεταδώσω ζωντανά. Βάλε το δεύτερο σε χρόνο ελεύθερο, με τα τραγούδια της παρέας σε Αθήνα και Πειραίας βάλε το δεύτερο βάλε το δεύτερο κι άσε με λεύθερο να γίνω εγώ το αισθημά σου και το πρόγραμμά σου βάλε το δεύτερο.
Βαρέθηκα τον αργιλέ	Καημός	Αμπατζή Ρίτα	Παπάζογλου Βαγγέλης	Παπάζογλου Βαγγέλης	Βαρέθηκα τον αργιλέ σιχάθηκα τη μαύρη θα αφήσω το κορμάκι μου αλλού νταλκάδες να βρει. Τις όμορφες θα κυνηγώ κρασί και σαντουράκι κι όχι το παλιομπούζουκο και το μπαγλαμαδάκι. Φύγε από με κουτόχορτο χάσου κι εσύ τσιμπούκι να ανοίξω τα ματάκια μου από το μαστουρλούκι. Γιατί όσο τη φουμάριζα έπεφτα και στο ζάρι μπροστά με λέγαν έξυπνο και πίσω παλαβιάρη
Βαρκούλα είναι η κούνια σου 2018	-	Χρήστος Θηβαίος	Κώστας Κολοβός	Τάσος Ιωαννίδης	Ο ήλιος πήγε πλάγιασε. Κι άναψαν όλα τα άστρα. Να σε φυλάν ακοίμητα. Από του ουρανού τα κάστρα. Να σου φωτίζει το όνειρο. Βγήκε λαμπρό φεγγάρι. Και την καρδιά σου αγκάλιασε. Της Παναγιάς η χάρη. Βαρκούλα είναι η κούνια σου. Πανάκι το σεντόνι. Μια θάλασσα η αγάπη μου. Κι οι άγγελοι στο τιμόνι. Τα μάτια κλείσε μάτια μου. Και δροσερό μου αγέρι. Το πιο όμορφο από τα πέλαγα. Τραγούδι να σου φέρει.
Βαρύτητα	-	-	Μιχάλης Γκανάς	Αμελοποίητα	Βαρύτητα λέμε το χέρι του ουρανού που επιστρέφει τους αλεξιπτωτιστές.
Βαρώντας γύρου ολόγυρα	Ζωής	Ξυλούρης Νίκος	Σολωμός Διονύσιος	Μαρκόπουλος Γιάννης	Γέλιο στο σκόρπιο στράτευμα σφοδρό γεννοβολιέται κι η περιπαίχτρα σάλπιγγα μεσουρανής πετιέται και με χαρούμενη πνοή το στήθος το χορτάτο, το αράθυμο, το δυνατό κι όλο ψυχές γιομάτο, βαρώντας γύρου ολόγυρα, ολόγυρα και πέρα, τον όμορφο τρικύμισε και ξάστερον αέρα. Τέλος μακριά σέρνει λαλιά, σαν το πεσούμενο άστρο, τρανή λαλιά, τρόμου λαλιά, ρητή κατά το κάστρο.
Βατόμουρα 2008	-	Βασίλης Παπακωνσταντίνου	Σταμάτης Μεσημέρης	Σταμάτης Μεσημέρης	Να ήταν λέει οι κολώνες ακακίες να έδιναν τα περιστέρια συναυλίες να ήτανε βατομουριές όλες οι μάντρες τα βατόμουρα να σου φορέσω χάντρες. Βατόμουρα βατόμουρα για σένα έχω όνειρα βατόμουρα βατόμουρα ματάκια μου παμπόνηρα βατόμουρα βατόμουρα εμείς πάμε για όνειρα βατόμουρα βατόμουρα εμείς τα ασχημόμουρα. Να ήταν λέει πιο μεγάλες οι λακκούβες να έπεφταν για ψαροντούφεκο οι κλούβες να ξαπλώναμε γυμνοί στα πεζοδρόμια και να γράφαμε σταθμούς κι αεροδρόμια. Να ήταν λέει στη Πατησίων το λιμάνι να φορτώναν τα καράβια οι πολιτσμάνοι με βατόμουρα χλωρά και μαρμελάδα για να γλύκαινε επιτέλους όλη η Ελλάδα.
Βαφιανός Συρτός Ως είναι η σπίθα λαμπερή	-	Ψαραντώνης	Γιάννης Μπερνιδάκης	Στέλιος Φουσταλιέρης	Ως είναι η σπίθα λαμπερή στη χόβολη χωσμένη ώπα ετσά είναι κι η αγάπη μου κρυφή μα μπιστεμένη. Επότιζά σε ροδαριά και σε έκανα μεγάλη κι έκανες ρόδα στα κλαδιά να τα μυρίζω πάλι.
Βγαίνω νύχτα 2007	-	Σωκράτης Μάλαμας	Φωτεινή Λαμπρίδη	Σωκράτης Μάλαμας	Βγαίνω νύχτα να σε ψάξω μα καπνός δε φαίνεται τη ζωή μου κι αν αλλάξω στη ζωή σου δένεται. Βγαίνω νύχτα κι από σένα έρχονται τα σήματα μια ζωή περνώ στα ξένα δέκα στα διλήμματα. Βγαίνω νύχτα και μου δίνει ο έρωτας τη ζυγαριά μια ζωή έχω στην ευθύνη δεκαπέντε στη ζαριά.
Βέτο 1987	-	Γιάννης Ζουγανέλης	Γιάννης Ζουγανέλης	Γιάννης Ζουγανέλης	Αφού μου λες πως δε με θες και μου μιλάς για ντροπές τότε τι θες κι έρχεσαι εδώ μετά μη λες πως φταίω εγώ. Μη μου τρυπάς τα μυαλά δε θέλω δα και πολλά δεν έχω που να στηριχτώ κάτσε καλά θα σου ριχτώ Ρ. Καταλαβέ το βέτο βέτο. Θα ασκήσω βέτο βέτο βέτο. Κάτσε καλά θα σου ριχτώ. Θα γίνει μπέρδεμα φριχτό. Χτυπάω βαλβίδα βίδα βίδα. Μου στρίβει η βίδα βίδα βίδα. Κάτσε καλά θα σου ριχτώ. Θα γίνει μπέρδεμα φριχτό. Εσύ μου δίνεις αφορμή κι ύστερα λες όλο μη και μη δεν ξέρεις ούτε τι ζητάς είσαι μωρό, τι με κοιτάς; Μη με ακουμπάς και πολύ η επαφή προκαλεί και για να μη σε βρει μπελάς μια συμβουλή. Μη με ακουμπάς. Μωρό μου τι ήρθες εδώ; Δεν καταλαβαίνεις; Εεεε κάτσε φρόνιμα! Θα σου την πέσω!
Βιάσου 1981	-	Βλάσης Μπονάτσος	Γιώργος Οικονομέας	Γιάννης Ζουγανέλης	Σε λίγο στην Ομόνοια θα έχει κίνηση, βιάσου. Στις δυομισι αρχίζει το ποδόσφαιρο, βιάσου. Το τρένο ξεκινάει στις οκτώμιση, βιάσου. Οι φίλοι περιμένου στο περίπτερο, βιάσου. Ο γιατρός σχολάει στις πεντέμιση βιάσου. Στο σπίτι περιμένουν για να φύγουμε, βιάσου. Οι μηχανές κόβουν τριγύρω και μας πνίγουν μας κυνηγάει από παντού ο χρόνος κι αν σε αγαπώ δεν προλαβαίνω να στο πω πάμε να φύγουμε. Το έργο έχει αρχίσει από τις εννιάμιση βιάσου. Τουλάχιστον ειδήσεις να προλάβουμε, βιάσου. Και γρήγορα κοιμήσου, καληνύχτα σου, βιάσου. Στις έξι παρά πρέπει να κινήσουμε, βιάσου. Δεν έχουμε καιρό για καληνύχτα, βιάσου. Ας ψάξουμε να δούμε πώς θα ζήσουμε, βιάσου. Οι μηχανές κόβουν τριγύρω και μας πνίγουν μας κυνηγάει από παντού ο χρόνος κι αν σε αγαπώ δεν προλαβαίνω να στο πω πάμε να φύγουμε.
Βίρα τα όνειρα 1996	-	Αναστασία Μουτσάτσου	Ηλίας Κατσούλης	Παντελής Θαλασσινός	Ποιο καραβάκι της καρδιάς μας έφερε εδώ πέρα να σμίξουν οι αγάπες μας να πούνε καλησπέρα. Βάφω τα χείλη μας μετά να βγει το τραγουδάκι όπως φυσάει στα νησιά το πρώτο μελτεμάκι. Στη μυροβόλο άναψαν όλα, όλα τα φώτα της υποδοχής βίρα τα όνειρα και ε για μόλα απόψε φύγαμε και όπου γης πατρίς. Σε ποιο λιμάνι της ψυχής η νύχτα θα μας βγάλει ή σε ποιον έρωτα τρελό θα μας βουλιάξει πάλι. Τα τραγουδάκια μας σφιχτά σωσίβιο θα κρατάμε αν και αντέχει το σκαρί κι εμείς που το πατάμε. Στη μυροβόλο άναψαν όλα, όλα τα φώτα της υποδοχής βίρα τα όνειρα και για μόλα απόψε φύγαμε και όπου γης πατρίς.
Βλέπω αθώους	-	-	Μπάμπης Στόκας	-	Είμαι ένα μικρό παιδί ανίκανο για κάθε τι και τι να παραστήσω αυτό που θες να ζήσω. Δεν ξέρω τίποτα, πολλά θέλεις να κρίνω όμως για αυτά και χάνομαι σε όλα και κλαίω σε άδειο σώμα. Δεν βλέπω όσα εσύ κοιτάς το πόσο λίγο τα μετράς αξία να μην δίνεις σκουπίδια να τα κρίνεις. Βλέπω αθώους και ζωές μικρές, χαμένες σε πληγές. Είμαι στη άκρη απλός στρατιώτης πρώτος στην μάχη όταν το νιώσεις. Μέσα σε φλόγες σε πυρκαγιές πρώτος στις μάχες όταν το θες. Πέφτω γεμίζω παντού πληγές όταν ζητάς καταστροφές. Βάζω τα κλάματα όταν γελάς χάνω τη δύναμη όταν πονάς. Απλός στρατιώτης με εντολές και για θυσία όταν το θες.
Βογγά το κάστρο τ Αναπλιού 1974	-	Κώστας Σμοκοβίτης Γλυκερία	Βαγγέλης Γκούφας	Μίκης Θεοδωράκης	Βογγά το κάστρο του Αναπλιού κλαίει το Παλαμίδι τι το βαρά η θάλασσα το δέρνουν οι ανέμοι. Ψηλό κυπαρισσόπουλο βεργολυγά και τρέμει. Οι ξένοι βάλανε βουλή και οι ντόπιοι ανταριαστήκαν χτυπά αδερφός τον αδερφό ασκέρι το άλλο ασκέρι. Χτυπά αδερφός τον αδερφό ασκέρι το άλλο ασκέρι παίζει χαμός στα μάτια τους στα χέρια το μαχαίρι.
Βραδινές περιπολίες 2010	-	Μελίνα Κανά	Άλκης Αλκαίος	Σωκράτης Μάλαμας	Βραδυνές περιπολίες και βουβές συνομιλίες άνοιξή μου δακρυσμένη πού με πας θέλει η νύχτα παραμύθι και βουτιά μέσα στα πλήθη στα λασπόνερα διαμάντια να ζητάς. Πόσα μάτια έχεις φλογίσει πόσα χείλη έχεις δροσίσει. Πόσο εύκολα ξεγράφεις και ξεχνάς φύλαξε τα δάκρυά σου για την πιο πικρή χαρά σου το μυστήριο της ζωής να προσκυνάς. Βραδυνές περιπολίες και βουβές συνομιλίες για ένα τρένο που όλο φτάνει κι όλο αργεί στις υπόγειες διαβάσεις την αλήθεια θα διαβάσεις και θα πιεις από της αγάπης την πηγή. Πόσα μάτια έχεις φλογίσει πόσα χείλη έχεις δροσίσει. Πόσο εύκολα ξεγράφεις και ξεχνάς φύλαξε τα δάκρυά σου για την πιο πικρή χαρά σου το μυστήριο της ζωής να προσκυνάς
Βρεμμένα είναι ή ξερά 2008	-	Χρήστος Θηβαίος	-	-	Παραδοσιακό Ελληνικό παραμύθι Μια φορά ήταν ένας τεμπέλης, από τους πιο μεγάλους τεμπέληδες του κόσμου. Ο αθεόφοβος εφοβόταν τη δουλειά, όσο δεν εφοβόταν το διάβολο. Αν του έδινες ψωμί έτρωγε, αν δεν του έδινες μπορούσε να ψοφήσει από την πείνα. Μια μέρα ήταν βασιλεμένος ο ήλιος κι αυτός δεν είχε βάλει τίποτα στο στόμα του. Την άλλη μέρα για να μην τον αναγκάσει η πείνα να δουλέψει, εσκέφτηκε να κάνει τον πεθαμένο στα ψέματα. Πιο καλά να με θάψουν, είπε μέσα του, παρά να μου δώσουν δουλειά. Τον είδαν οι γειτόνοι ξαπλωμένο στο στρώμα του και κοκαλομένο. Τον εθάρρεψαν για νεκρόν και εφώναξαν τους παπάδες να τον πάρουν. Στο δρόμο που πήγαινε το λίψανο του τεμπέλη, μια γυναίκα είδε τον πεθαμένο και τον λυπήθηκε και είπε από το παράθυρό της. Ο κακόμοιρος από την πείνα του θα πέθανε. Που να το ήξερα εχτές να του στείλω καμπόσα παξιμάδια που έχω; Ο τεμπέλης από το κυβούρι του από μέσα σαν άκουσε τα λόγια της γυναίκας που το λυπήθηκε, άνοιξε τα μάτια του και ρώτησε. Βρεμμένα είναι ή ξερά; Ξερά, του λέει η γυναίκα Ε! Τότε ψάλετε παπάδες. Ψάλετε, λέει ο τεμπέλης και σφλανάει τα μάτια του. Γρουσούζης! Επροτίμησε να θαφτεί ζωντανός, παρά να κάνει τον κόπο να μουσκέψει τα παξιμάδια.
Βρέξε Θεέ μου 2001	-	Βασίλης Παπακωνσταντίνου	Βασίλης Γιαννόπουλος	Χριστόφορος Κροκίδης	Δρόμοι παράξενοι με φέραν εδώ πέρα ξέφρενοι έρωτες με δώσανε φτηνά τόσες αγάπες και δεν είδα άσπρη μέρα τόσα ταξίδια της ψυχής στο πουθενά. Όμως εσύ που δε σε χόρτασα ποτέ μου είσαι μια πόλη που δεν έζησε κανείς είναι η ανάσα σου το φύσημα του ανέμου και το κορμί σου δυο σταγόνες της βροχής. Βρέξε Θεέ μου όσο μπορείς οι αγάπες της νύχτας πεθαίνουν νωρίς βρέξε Θεέ μου όσο μπορείς οι αγάπες πεθαίνουν νωρίς. Δρόμοι παράξενοι με φέραν εδώ πέρα ψεύτικα όνειρα μου πήραν το νου εχθροί και φίλοι μου σκορπίσαν στον αέρα και κάποιοι άραξαν σε μια άκρη του ουρανού. Όμως εσύ που δε σε γνώρισα ποτέ μου είσαι μια λέξη που δεν άκουσε κανείς κάτι σαν ήχος που μου λέει άνοιξε μου κάτι σαν χτύπημα στο τζάμι, της βροχής
Βρες μου έναν άλλο	-	Γιώτα Νέγκα	Νίκος Μωραΐτης	Νίκος Μερτζάνος	Λίγο πριν φύγεις δείξε μου κάποιον να υπάρχει στον κόσμο να πάω να τον βρω. Δείξε μου κάποιον που σαν εσένα να κλέβει το βλέμμα όταν μέσα του κοιτώ. Βρες μου έναν άλλον που να είναι σαν εσένα να έχει χέρια ανοιγμένα όταν πέφτω να πιαστώ. Βρες μου έναν άλλον που το σώμα να θυμάται κάποιον που να μην φοβάται όταν λέει σε αγαπώ. Δείξε μου κάποιον που να σου μοιάζει μα δεν υπάρχει δεν γεννιούνται εκατό. Βρες μου έναν άλλον που να είναι σαν εσένα να έχει χέρια ανοιγμένα όταν πέφτω να πιαστώ. Βρες μου έναν άλλον που το σώμα να θυμάται κάποιον που να μην φοβάται όταν λέει σε αγαπώ.
Βρέχει βρέχει	-	Μπάμπης Τσέρτος Χρυσούλα Στεφανάκη Γλυκερία	Αλέκος Σακελλάριος	Μιχάλης Σουγιούλ	Έξω από το παράθυρό μου βρέχει, βρέχει, βρέχει, βρέχει κι όλο από τη γωνιά του δρόμου περιμένω να φανείς. Έξω τρέχουν πια ποτάμια κι όλο βρέχει, βρέχει, βρέχει κλαίω πίσω από τα τζάμια κλαίνε μαζί μου κι οι ουρανοί. Πού να είναι ποιος να ξέρει πού να είναι αλήθεια τώρα τώρα που έχω τόση ανάγκη τη γλυκιά της συντροφιά. Πέρασε το καλοκαίρι και μας χώρισε μια μπόρα κι έχω τη βροχή στα μάτια στην καρδιά τη συννεφιά. Έξω από το παράθυρό μου βρέχει, βρέχει, βρέχει, βρέχει το χαμένο το όνειρό μου κλαίω μαζί με τη βροχή. Μαύρα του ουρανού τα μάκρη κι όλο βρέχει, βρέχει, βρέχει κι όλο κλαίει με δίχως δάκρυ η θλιμμένη μου ψυχή
Βρήκες τη στιγμή 2001	-	Διονύσης Σχοινάς	Τάσος Βουγιατζής	Σόλων Αποστολάκης	Ήταν τα λόγια που δεν ήθελα να ακούσω ήταν το βλέμμα σου το ένοχο. Με τι κουράγιο φεύγεις πια και καταστρέφεις ένα συναίσθημα υπέροχο; Βρήκες τη στιγμή πάνω που είχα πει ότι ήσουν τα πάντα για μένα εσύ και να μου περάσει μια σκέψη τρελή μπορεί. Βρήκες τη στιγμή πάνω που είχα πει πως εμείς ταιριάζουμε τόσο πολύ όνειρα κομμάτια και μες την ψυχή, σιωπή. Ήταν τα λόγια που δεν ήθελα να ακούσω ήταν τα δώρα σου τα ψεύτικα με ένα αντίο δίχως λόγο καταστρέφεις ότι με σένα ονειρεύτηκα. Βρήκες τη στιγμή πάνω που είχα πει ότι ήσουν τα πάντα για μένα εσύ και να μου περάσει μια σκέψη τρελή μπορεί. Βρήκες τη στιγμή πάνω που είχα πει πως εμείς ταιριάζουμε τόσο πολύ όνειρα κομμάτια και μες την ψυχή, σιωπή.
