title	genre	singers	writers	composers	lyrics
Αγάπη δεμένη 2018	-	Ελεωνόρα Ζουγανέλη	Γιάννης Χριστοδουλόπουλος	Γιάννης Χριστοδουλόπουλος	Δευτέρα το βράδυ θα έρθω από τη δουλειά. Εσύ θα κοιμάσαι με φώτα ανοιχτά. Κι αύριο πάλι θα έρθουν συγγενείς. Στο σπίτι να μας δούνε. Κι αυτή την Τετάρτη θα πάω τον μικρό. Πρωί στο σχολείο το βράδυ γιατρό. Η Πέμπτη θα φύγει όπως φεύγει η ζωή. Ερήμην μου κάποιος την παρακινεί. Τα Σάββατα όμως και τις Κυριακές. Μαζεύονται οι άνθρωποι και μπλέκουν στιγμές. Μετράνε τα αστέρια που ανάβουν για αυτούς. Στο σύνολο πόσες σιωπές μου ακούς. Να Πάμε μια βόλτα με μια σιγουριά. Να κάνουμε λίγο όπως ήταν παλιά. Πριν μάθει ο κόσμος κι η μνήμη να ζει. Δυο άνθρωποι μόνοι με τόσους μαζί. Κι αυτή τη βδομάδα χαμός στη δουλειά. Ετούτο το μήνα θα δείξει η χρονιά. Δεν πρόλαβα πάλι να έρθω να σου πω. Σε θέλω μου έχεις λείψει. Να πάμε ταξίδια να πάμε όπου θες. Να φέρουμε εικόνες στις αποσκευές. Αγάπη δεμένη με τέτοια υλικά. Εμάς περιμένει να δει το μετά.
Αγάπη θέλει το κορμί	Νόημα Ζωής	Λιδάκης Μανώλης	Φασουλάς Κώστας	Θαλασσινός Παντελής	Όσα λουλούδια ανθίζουνε στης μνήμης μου τον κήπο είναι φωτιές που ανάβουνε με της καρδιάς τον χτύπο. Αγάπη θέλει το κορμί τη μοναξιά να αντέξει να γίνει το όνειρο βροχή μες στην ψυχή να τρέξει. Όσες φωνές μου τραγουδούν και με ξυπνούν τα βράδια είναι αστραπές που φώτισαν του χρόνου τα σκοτάδια.
Αγάπη θέλει το κορμί 2008	-	Μανώλης Λιδάκης	Κώστας Φασουλάς	Παντελής Θαλασσινός	Όσα λουλούδια ανθίζουνε στης μνήμης μου τον κήπο είναι φωτιές που ανάβουνε με της καρδιάς τον χτύπο. Αγάπη θέλει το κορμί τη μοναξιά να αντέξει να γίνει το όνειρο βροχή μες στην ψυχή να τρέξει. Όσες φωνές μου τραγουδούν και με ξυπνούν τα βράδια είναι αστραπές που φώτισαν του χρόνου τα σκοτάδια.
Αγάπη σε εμένα 2009	-	Μανώλης Φάμελλος	Μανώλης Φάμελλος	Μανώλης Φάμελλος	Έλα βαθύ φιλί κι έλα βαθύ σκοτάδι έλα με ορμή τυφλή και απαλή σαν χάδι. Έλα με τη δροσιά και με τον πυρετό και με του πόθου τη φωτιά και το αναφιλητό. Έλα πίσω αγάπη, έλα πίσω αγάπη σε μένα και πλήγωσέ με αγάπη ώσπου να τρέξει το αίμα. Όλα από σένα αγάπη γιατί μακριά σου όλα ψέμα. Τα μάτια δέσε μου, αγάπη κι οδήγησέ με ως το τέρμα, οδήγησέ με αγάπη πέρα από του δρόμου το τέρμα. Έλα με τις σιωπές τα δίχτυα σου να πλέξεις και χόρεψε και βγες έξω από τις λέξεις. Έλα με τη βροχή, του τέλους τη σκιά, έλα αθώο παιδί και μοχθηρή θεά. Έλα πίσω αγάπη, έλα πίσω αγάπη σε μένα και πλήγωσέ με αγάπη ώσπου να τρέξει το αίμα γιατί μακριά σου όλα ψέμα. Έλα πίσω αγάπη, έλα πίσω αγάπη σε μένα και πλήγωσέ με αγάπη πάλι ώσπου να τρέξει το αίμα. Όλα από σένα αγάπη και μακριά σου όλα ψέμα. Τα μάτια δέσε μου, αγάπη κι οδήγησέ με ως το τέρμα, κι ανάστησέ με αγάπη πέρα από του δρόμου το τέρμα.
Αγαπώ μια παντρεμένη	-	Ρόζα Εσκενάζη	Σπύρος Περιστέρης	Σπύρος Περιστέρης	Αγαπώ μια παντρεμένη αμανε είναι αμανεμ. Αγαπώ μια παντρεμένη αμανε είναι αμανεμ. Από τον άντρα της διωγμένη κούκλα ζηλεμένη. Από τον άντρα της διωγμένη κούκλα ζηλεμένη. Μες στην Κοκκινιά που μένει αμανε είναι αμανεμ. Μες στην Κοκκινιά που μένει αμανε είναι αμανεμ. Όποιον και να ιδεί τρελαίνει η διαβολεμένη. Όποιον και να ιδεί τρελαίνει η διαβολεμένη. Πήγαμε μαζί σεργιάνι αμανε μου αμανε μου. Πήγαμε μαζί σεργιάνι αμανε είναι αμανεμ. Κόντεψε να με πεθάνει στο Πασαλιμάνι. Κόντεψε να με πεθάνει στο Πασαλιμάνι. Ξαπλωμένη στο ντιβάνι αμανε είναι αμανεμ. Ξαπλωμένη στο ντιβάνι αμανε είναι αμανεμ. Τη φιλώ μου λέει φτάνει σπαραγμός με πιάνει. Τη φιλώ μου λέει φτάνει σπαραγμός με πιάνει.
Αγγελοκάμωτη 1994	-	Ψαραντώνης	Παραδοσιακό	Παραδοσιακό	Το μήλο όσο κρέμεται εις τη γλυκομηλίτσα ψύγεται για μαρένεται για τρώντο οι διαβάτες. Αχί ζαχαρωκόκαλη και καητοζυμωμένη. Αχί αγγελοκάμωτη. Αχί διαλομενένη
Αγκάθι 2014	-	Ψαραντώνης	Δημήτρης Αποστολάκης	-	Μετάφραση Γιάννης Αηδονόπουλος. Η ψυχή μου είναι τριαντάφυλλο κι είμαι πάνω της αγκάθι. Μην το πείτε και το ακούσουνε η καλή μου μην το μάθει. Θαμπωμένη από την κόκκινη καταματωμένη μου όψη με το αργό της το βημάτισμα, θα σιμώσει να με κόψει. Μα το κάτασπρο χεράκι της που αγαπώ και τρέμω τόσο θα χαρώ χαρά περήφανη με κακιά να το αγκυλώσω. Και μια στάλα αίμα πέφτοντας πέταλά μου ματωμένα θα χαθεί μέσα στο χρώμα σας θα γενεί μαζί σας ένα.
Άδειο δωμάτιο 2005	-	Σωκράτης Μάλαμας	Σωκράτης Μάλαμας	Σωκράτης Μάλαμας	Μπορεί να μην αγάπησε ποτέ του. Μπορεί και να γελάστηκε στα αλήθεια. Να νόμιζε γι αγάπη την συνήθεια. Στο άδειο δωμάτιο και στον κρύο αέρα. Να σε αγαπώ το μόνο που μου μένει. Να είμαι για σένα η ζωή που περιμένει. Να κλέψει να σου δώσει. Να σε στείλει να σε νιώσει. Αγαπημένα χέρια περιστέρια. Σπατάλη τα ταξίδια μου στα αστέρια. Αγαπημένα χείλη μου ζεστά. Δεν έχει ο ουρανός άλλη αγκαλιά.
Άδειο κύμα 1984	-	Αρλέτα	Θάνος Φουργιώτης	Λάκης Παπαδόπουλος	Κάποια βράδια νεκρά θα σου στέλνω κρυφά από το ράδιο αφιερώσεις, αφιερώσεις, μια ζωή μοναξιά, φορτισμένα κουμπιά, κάποια λύση ξανά με τις ίδιες, τις ίδιες πιστώσεις. Κάποια βράδια νεκρά, με βαριά λαϊκά, θα σε βρω στις προσόψεις, στις προσόψεις, μια στιγμή μοναχά, να σου δώσω φωτιά, της ζωής μου το τέρμα, πως φοβάμαι, φοβάμαι μη νιώσεις. Άδειο κύμα κι η φωνή μου γυμνή, σκορπισμένη, σπασμένη, στο φινάλε βραχνή, να εξοφλεί την ηχώ της με δόσεις, με δόσεις. Άδειο κύμα κι η φωνή μου γυμνή, σκορπισμένη, σπασμένη, στο φινάλε βραχνή, να εξοφλεί την ηχώ της με δόσεις.
Αδιέξοδο 2004	-	Ειρήνη Μερκούρη	Τάσος Βουγιατζής	Σόλων Αποστολάκης	Μιλάς για αγάπη κι εγώ στην άκρη ενός γκρεμού που με έχεις φέρει δε σε συμφέρει γιατί είσαι αλλού. Φιλιά και ρούχα στη σάλα σου είχα και τα κλειδιά δεν ψάχνω λύσεις και απαντήσεις για όλα αυτά έμαθα πιά. Όλος ο κόσμος είσαι εσύ κι ένα αδιέξοδο μπροστά αν με αγάπησες πολύ θάνατός μου γίνε τώρα που δεν είμαι δυνατή. Μισά τσιγάρα θα πει πως άρα άδικα κλαις μένεις για τώρα σε λίγη ώρα φεύγω θα λες. Πια δεν ελπίζω και σου χαρίζω λάθη παλιά να με θυμάσαι εκεί που θαείσαι στο πουθενά άσε με πια. Όλος ο κόσμος είσαι εσύ κι ένα αδιέξοδο μπροστά αν με αγάπησες πολύ. Θάνατός μου γίνε τώρα που δεν είμαι δυνατή.
